AIPO: Well Tie-In Discussion 
lun, 25 de nov de 2024

0:00 - Khalid Sarfaraz (ADNOC Group D&CS) Good afternoon, good afternoon. I'm just, I forgot which, okay, perfect.

0:17 - Unidentified Speaker Hello morning. Good afternoon. Good afternoon. Good afternoon. You know, Hello. Hi, everyone.

1:14 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yes, I'm trying to meet some other guy. It's not there. Yeah.

2:02 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) Yeah, we're trying to I think it seems busy Okay, no problem.

2:14 - Khalid Sarfaraz (ADNOC Group D&CS) Let's wait five minutes.

2:18 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) Yeah, okay, then we can join each other Allah. I will be in the live.

2:49 - Unidentified Speaker Mute.

3:43 - Mohammed Ashic (ADNOC Onshore - PD) I think we have Mr. Farid here. I think maybe he's busy. Is Sheikh going to join us?

4:01 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) Yeah, he'll join in five minutes. Well, he's supposed to join. I left off with now I go to site. OK.

4:13 - Unidentified Speaker We can start. We can start.

4:17 - Rahul Patel (ADNOC Group D&CS) So good afternoon, everyone. I'm Rahul Patel from the project team. And today's discussion we are planning about the supply planning or the detailed discussion about well the planning of the tying material so I think we've had one conversation just a minute let me do one thing I can if I can see if I can record the session let me check I've requested Tara to join.

5:17 - Khalid Sarfaraz (ADNOC Group D&CS) Who can help us record this discussion? No problem, I I think only the requester can join.

5:31 - Unidentified Speaker Do we'll see, let's see.

5:36 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) Yeah, gentlemen, share now with us.

5:47 - Unidentified Speaker Good. We can go ahead.

5:49 - Mohammed Ashic (ADNOC Onshore - PD) Yeah, OK, thank you.

5:51 - Rahul Patel (ADNOC Group D&CS) Good afternoon once again. So today's discussion about the tying this tying materials related to the link process so. What we want to do is to understand that trying process in detail. So in one of our previous discussion we have briefly talked about tying. Tying is another set of material going to be part of the drilling materials which we need to plan along with the rest of the drilling materials. So as part of discussion now that we're finalizing the design for the planning of drilling materials we want to make sure that we also consider tying material requirement as part of the design and then use this information to set up the process in IVP. On high level the process we have agreed for drilling is that we will update the well plan in IBP. Based upon the well plan, all the material and completion code, we will create the demand in IBP based upon the bill of material.

6:59 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) It would be for all the three years, so well plan for like, I think it cannot be available in our.

7:12 - Rahul Patel (ADNOC Group D&CS) So what I understand for three to five years data is available in the software and we are trying to interface with. The software to pull the to make sure that we can pull the well plan. Whatever well plan is created would be available in IBP and for that well plan we will create the material forecast in IBP directly.

7:40 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) So. Sorry, sorry if you're not. If you allowed me, I believe we work like this style before eight years with IT and that time can't be a success due to that availability.

7:54 - Rahul Patel (ADNOC Group D&CS) So Abdul and again, I think we've discussed right the DW system has the well plan for three to five years and we are using the same time.

8:06 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) It will be completely different. Okay, so maybe shake. I think he didn't join. Maybe I can rejoin me. No, it's not there.

8:16 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) I think I saw him.

8:19 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) It will be similar like chemicals where I go. Okay, if can you can you pull shake again? Try to ask him to join him. Ask him to join this meeting. So you can explain what exactly they are doing.

8:37 - Unidentified Speaker So then you'll understand more.

8:40 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) Yeah, because JBTI is not similar. We tried before eight years with IT and to combine with Maximo, and we're not success. And also that time, the focal point.

8:58 - Mohammed Ashic (ADNOC Onshore - PD) So in time, how is this BOM generated? How do we know? History, history.

9:07 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) We make forecast based on the history. We say the majority, we build it as it is. And alhamdulillah, since that time, if you saw JV forecast, it is almost above 85% to 90% consumption.

9:29 - Mohammed Ashic (ADNOC Onshore - PD) So you don't have any bomb, like any record? Just by historical consumption, you are protesting?

9:38 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) Yeah, and alhamdulillah, we succeeded. At that time, Mr. Doshi was our focal point, and he observed the thing.

9:49 - Mohammed Ashic (ADNOC Onshore - PD) But let me add, Sheikh, because his language is similar to yours.

9:55 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No, no. Yeah, Sheikh, there is no standard set of materials or quantities.

10:03 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) Yeah there is different configuration and the configuration we cannot know until before the RRD date. But we built this one based on the history.

10:13 - Rahul Patel (ADNOC Group D&CS) But then how the overall process is in line with drilling like from a project perspective why drilling and tying are put together because what I understand tying the process of tying starts only after once you start getting fluids out

10:31 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) of well right yeah so how this to actually is to enable the forecast they are together because both are forecasted so now we have one more forecast model available which is chemical so you forget about drilling and the complexity it appears a lot so what they want to achieve Based on the forecast and consumption history, they want to update the forecast. And based on the forecast, they want to proceed for the time. So you can just suggest based on the chemical methodology.

11:13 - Mohammed Ashic (ADNOC Onshore - PD) Same way. So for example, I'll show you. Uploading only.

11:17 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) Uploading. So guys, me and Sheikh, we're supposed to join other meetings. Can we join within 10, 15 minutes?

11:26 - Khalid Sarfaraz (ADNOC Group D&CS) You want we can schedule later, is that fine?

11:30 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) It will be better if it is after 2 today after 2. OK. I think there was. Yeah, sorry for that. We have other urgent meeting with the development. Right, OK, we'll we'll discuss in detail.

11:47 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Maybe once they join just to give the flavor of what what is happening.

11:54 - Farid Munassar Ahmed AL-Yafeai (ADNOC Onshore - PSD) Take care about you until 2 o'clock.

11:57 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) This is the example of what we used to get as a forecast. I'm just sharing my screen and then OK, you see here you will have the SAP, SAP code and then the item description and then yearly how much they need. So this would be based on the number of wells. What they plan, you know several examples. This comes from the DWS. Wells they're planning to complete in each year. From this, they will, based on the previous experience and the nature of the asset, they'll be knowing it. How many will be the operating oil producer and how many will be the water injection. Based on these two different well types, and also based on the asset like Bha, Bhuvasa and Southeast, they'll have well plan for three years. From this they used to derive this quantities. How much they need per year? It is not much complicated as drilling. This is very simple. They'll have that number against the item number. They'll have the quantities, how much they need per year.

13:07 - Rahul Patel (ADNOC Group D&CS) Is this better than that link to the well plan like you said based upon?

13:12 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No, no, no, no. There is no direct linking between this number of wells and then the quantity. Quantity may differ. Know because just say this is the forecast only because sometimes you know the world may be the minimum five kilometers they'll plan if you look at the line pipe requirement you know let's say tables and also the main item here is the line pipe you see this is a huge quantities which they used to consume you know because fine activity right so this quantity and all also that's just a forecast only at the time of actual execution of job only they will come to know how much exactly they So that's why it's been mentioned they're achieving around 85 to 90% of job accuracy. It may vary year by year, but at least they are achieving at least around 80% of what they forecast.

14:01 - Rahul Patel (ADNOC Group D&CS) But but then what you're saying is while they're planning for wells, there is no relationship between material wells. No, is what you're saying. I'm not talking about quantity, but the SAP codes like which SAP codes to be forecasted. How would we know which recipe codes are to be forecasted to start with?

14:21 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Is there a set of materials which identify that by material group or something that is a time materials and all this? Correct, correct, they have a separate store. They created for science like 41 and 91. 91 for ASR, 41 for JB and these items are linked with that those stores.

14:40 - Unidentified Speaker OK.

14:41 - Rahul Patel (ADNOC Group D&CS) So so we we there is there is a finite list of metals which are only related to time and this metal are not a part of any drilling material. So the same metal will not be part of drilling.

14:53 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No, no, it will be different completely. So it is kind of, you know, like chemicals what we are used to get as a forecast based on the production plan. For next three years. This is also similar kind of planning only like for the next three years. They'll know how many wells are planned to drill. Based on that, they will try to forecast how should they exactly did against each item code.

15:16 - Rahul Patel (ADNOC Group D&CS) So essentially what you expect is that you we look at the consumption of all these parts historically and based upon historical consumption generate a forecast and then user will manually adjust a forecast based upon the well plan we don't

15:30 - Mohammed Ashic (ADNOC Onshore - PD) need to do anything. Nothing. But maybe if we give more details on this planning maybe IVP can help the end user to do the planning also know better because if you see like okay line pipe I can understand it would because it's on the surface it may be the distance between the well and the operation plant maybe this cannot be estimated this cannot be estimated but like the other materials other equipments that may be for oil producer or water injector or those must be those type of well they must be having a special equipment right to be used when it is the well well this equipment will be used so if if we can maybe help in the planning process maybe they are doing manual this can be automated within IVP so it would benefit the end user yeah we will discuss in detail at two o'clock so we can hear from them also okay how they are planning so it will be more

16:34 - Rahul Patel (ADNOC Group D&CS) clear for everyone okay team while We have Jagan and others on the call. Any other question or we can move this meeting at two?

16:43 - Hector Palacios I have one question. Is this forecast we are seeing here because I see it by material, I see it by year, is this the forecast we have or is just a report of the forecast?

16:55 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) The forecast which we are receiving from them.

16:58 - Hector Palacios This is actual forecast what we receive from them. But maybe they have another file in which they have more detail.

17:05 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) them. So that's something that we need to check with them.

