AIPO: Well Tie-In Discussion 
mar, 26 de nov de 2024

0:01 - Unidentified Speaker little lazy. Okay.

1:09 - Khalid Sarfaraz (ADNOC Group D&CS) you the 2-3 minutes. Fareed is joining and guys. Is Sheikh Fareed will be joining? Any idea? He is in the middle of another meeting.

2:26 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) No problem. I can call him. Okay.

2:30 - Unidentified Speaker All right.

2:31 - Khalid Sarfaraz (ADNOC Group D&CS) Does we need to wait for someone else?

2:39 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No need, if you want we can start now.

2:45 - Khalid Sarfaraz (ADNOC Group D&CS) Rahul, over to you.

2:48 - Unidentified Speaker Okay, so can we start?

2:51 - Rahul Patel (ADNOC Group D&CS) Yeah, you're going to start. Hello, good morning everyone. Today's discussion is to talk about the tying process and how we can plan the demand for tying process based upon earlier conversation we understand that there is separate team planning the tying requirements and then it is not part of the dealing with VDI process which means the demand is independently managed in excel sheets and then procurements are proposed through S4 HANA. So we just wanted to understand this process in detail how how the demand is being derived today is there a way we can automate the process of demand creation because and how this demand is tied to the well plan because for drilling materials we the way we are planning for drilling material is based upon the well plan well ID and well type we will create a bill of materialness for HANA and this bill of material will help us define the requirement automatically so the intent of this discussion is to understand how requirement for tying material is identified, how it is linked to the well type or well ID and then is there a way for us to like automate the steps which are there while the demand is being determined in excel, how we can automate those steps in IVP and if there is an opportunity can we make it similar to drilling where we have a bill of material for tying as well that's the primary and discussion we would like to have and understand that time demand planning process. So Khalid who would be the person who will help us go through this?

5:00 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) The major difference for the tie-in material which is linked to DWS is that we don't always take the wells completely from the DWS for the tie-in plans because there will be existing wells which we be converting into new designs which category happens frequently so this normally it does not come from the drilling because it's already drilled wells actually so these numbers normally obtained from the what I say the planning team or the project team so and the basket of materials may change well to well basis and we take it from them actually it is not the typical MTO for a new well the MTO might be typical but in this case always the wells are not new and also we support the project wells also when I say project well some of the time materials are common to project materials so they sometimes come and ask me we need the flow lines for 556 wells for next year. So we add the requirement just like that. So like on pad wells materials under project some of the materials they want us to support for the project coming next year.

6:15 - Unidentified Speaker Sorry. Yes.

6:16 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) So I'll just share the screen where like just to show that how Yeah, yeah. Focus sheet has been worked in so.

6:27 - Unidentified Speaker OK.

6:27 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Like if you see that the focus comes from the number of holes here, but there will be like additional someone else. As I said, no, this comes from requirement from the project team. So basically the requirement always does not come from the DWS, so which we have to manually add this requirement into the forecast.

6:48 - Rahul Patel (ADNOC Group D&CS) So if so, because we're we're going to capture the DWS requirement into IBP which means the initial well plan would be available okay and even the initial well plan no I have again I have to go back to

7:00 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) the planning team because some of the wells might be done through the projects not all the wells in the DWS are going to be done through the time call out contract which requires procurement through or no control so if it is an EPC project it will be done through the specific contract okay and even from DWS no like It just says oil producer. It does not say like a high oil producer wells or Which category of wells it covers under so which this classification we again have to go back to the project team So it is not exactly taken from DWS and converting into the focus for drilling It might be the same case actually because what are wells to be drilled you will get the basket of metals same like that mm-hmm, so it will not be applicable exactly the same for Tine wells So can you can you just walk us through your actual sheet once more like so we understand sure. Sorry, look I have a different classification of materials for like oil producer wells like a water injection well 1500 1500 with flow 4 inch flow line 6 inch flow line this so I basically this decide which percentage the well how many percentage for 4 inch has to be considered I have to again go back to project team and get the information actually which is not available in the DWS. Okay so when you say project team, project team has this information anywhere else? No it will not be available, it will all do in the calculation because the current currently 6 inch flowline I'm just giving an example like for BAP 6 inch flowline used to be the most commonly used wells sorry 4 inch flowline used to be the most commonly higher like 70% But it changed in the coming years. It becomes 16 has been started to be used more. So when I went back to them, they said no. No, the process parameters are changing in BAP, so the new zones we have to calculate that with 16 flowline more than the 64 inch flowline. So these parameters are not given from data place.

9:03 - Rahul Patel (ADNOC Group D&CS) That's what I'm saying.

9:05 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) So even we put a template.

9:07 - Unidentified Speaker Sorry, sorry, no.

9:08 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Even if I create a template, with this percentages no but it keeps on changes and as I said the project well materials has to be added to the forecast manually always like one more sheet I will just show you for like I just did for recently for ASR okay this ASR was we did the forecast okay then there was a requirement project team like if you see this one it is a sheet is a requirement came from the project team this specifically want only this materials for seven 17 wells so these type of requirements I have to add it only manually like they specifically said 8 inch ball valve they need 64 numbers or transmitter they need for 17 wells 4 per well like this ball valve they need 85 numbers so these type of requirements keep continuously comes and these type of requirements I have to add it only manually into that sheet so it is not always basket of words it keeps on repeating.

10:07 - Unidentified Speaker Am I making clear? Yeah, yeah, yeah.

10:09 - Rahul Patel (ADNOC Group D&CS) So you're what you're saying is there is a lot of manual intelligence in between. There is no data available in system which can directly correlate between the well plan and the requirements for time. Yes, and there is this additional add-on requirement which keeps on adding, which means that there is no fixed bill of metal or metal basket.

10:32 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) which correlates between the well type and requirement for like some type of wells have the fixed bills but I'm saying that additionally there will be requirements coming keep on popping in also and the as I said the basket of materials is not fixed for one type like literally there will be 1500 rated well 2000 even when you say oil well no you have 1500 with HIPS 1 classification is there without HIPS 1 classification 2500 rated well will 6-5

10:57 - Bastian Osorio MTOs will be there for one particular well. Question from here.

11:02 - Unidentified Speaker Two questions.

11:03 - Bastian Osorio First of all, I didn't check if you identified the wells individually. I just noticed you have the well type. Do you identify the wells individually and then assign them the required materials or it's just per well type?

11:23 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) No, per well type. Individually, it's a tedious task to go and assign. So like if I have 20 wells, I will put a percentage for 2,500 rated with HIPs, like 70%, something like that, based on the past history of consumption.

11:39 - Bastian Osorio But how do you identify the ones that require these materials? At which level, I mean? At the well type? Identify the materials? I have a classification.

11:49 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) No, as I said, I have different material. MTOs are available. For each classification.

11:55 - Rahul Patel (ADNOC Group D&CS) So the question so the question here is that we have well type right which identifies what type of well but we have unique well identifier which identifies every well uniquely right well number and there is a backup number as well. So when you create this material requirement plan for say tine, do you create well type can be one of the input, but essentially you you need a plan for every well, right?

12:28 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Yeah, but as I know, well number is not important for me. Actually, like if I have 30 wells coming for next year for 13 wells, I will classify 70% of one type and the 20% of another type like 10% of another type. So retail information will not be available for me from development for like which classification to be considered. They have this information maybe six or seven months before the drilling only the forecast I have to give it for three years right.

12:58 - Hector Palacios (ADNOC Group D&CS) Then okay a question here where are we storing the stock then because I guess that if you are planning in a aggregated way then we are not procuring it for three years right we are procuring only for one year

13:11 - Rahul Patel (ADNOC Group D&CS) right.

13:11 - Hector Palacios (ADNOC Group D&CS) Yes but when you procure are you keeping a stock somewhere so they whatever well can use it then when it says stock is what a physical material availability yeah yeah it will be in top 13 right it's in ad-hoc

13:27 - Khalid Sarfaraz (ADNOC Group D&CS) inventory the you you keep it in ad-hoc inventory right you don't there is no vmi for that I don't know okay documentary it's basically by material type you don't care how uh so you care about how many wells are there by particular material type, but you don't actually care about particular wells, right? No, we just divide.

13:50 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Because well number I link it only when I withdraw the material from BAP13. Like issue is specific. So probably you when you're issuing you're issuing to that particular WBS element for the Exactly for that particular well number I each will have specific WBS and I link that when I take it take the material from BAP13.

14:12 - Khalid Sarfaraz (ADNOC Group D&CS) but for the planning purpose for the each material type you must have some let's say not bill of material but some idea right this may require this initial initially when you start I said no bill of material is there

14:27 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) for some template bill of material is there for all the type of versus that additionally some requirements come that's what I said coming so you have a yeah yeah okay so the template below How do you know what additional

14:42 - Rahul Patel (ADNOC Group D&CS) matter is required?

14:43 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Is this something the project team tells or you look at that additional requirement from the additional requirement from the project team? I take it from the project team only like it. As I said, no day sometime because we normally procure material for off pad only like some of the on pad materials are common so they ask specifically which material they want for how many number of wells. But that will be only like they give us the list to me.

15:06 - Rahul Patel (ADNOC Group D&CS) They gave me the priority or So do you have metals common with drilling or the metals for tying are completely? No, drilling is not common. Tying is separate. No, drilling and tying is common. From a material number perspective, there is no overlap between materials for drilling and tying, right? Everything is separate. No, no, it is separate. Khalid, we have a separate metal type for tying or is it part of drilling metals only?

15:29 - Khalid Sarfaraz (ADNOC Group D&CS) No, it's a part of the drilling only.

15:31 - Rahul Patel (ADNOC Group D&CS) Drilling material, yeah. Okay, okay, okay. So how do we identify the metals which are required only for tying.

15:39 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) They have separate store for tying you know because even in the tying also we have JV and ASR we have specific store to identify the tying materials.

15:53 - Khalid Sarfaraz (ADNOC Group D&CS) Do they have a classification in the classification?

15:57 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No.

15:57 - Khalid Sarfaraz (ADNOC Group D&CS) So only thing is by store only there is no other way to encryption or any other attribute in the material master.

16:08 - Rahul Patel (ADNOC Group D&CS) No, no, no.

16:09 - Arun Tejnarayan (ADNOC Group D&CS) So when I say store, is it like a plant code or location code in this one? Or is it like storage location?

16:19 - Hector Palacios (ADNOC Group D&CS) And what is the plant? Because in the in the plan that I saw the forecast we we don't have the plant. So how would you know in which plant you store?

16:32 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) forecast we don't have plan.

16:33 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Yeah, but again the store number and I say it, I'm not sure. No, no, no, Yeah, yeah, we do separate focus. Yes, yeah, so that means as I said, even when we create the SAP code for a particular number, also the plan number is given in that against that SAP number.

17:16 - Arun Tejnarayan (ADNOC Group D&CS) OK. So just just to understand. So basically this time products are not part of the drilling equipment basket, right? There are separate entities and You focus based on the historical consumption, but may I know for in the past like how much horizon do you take into consideration? For the historical consumption horizon, like do you take three years historical consumption?

17:44 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Three years.

17:45 - Arun Tejnarayan (ADNOC Group D&CS) And then you predict for how much in the future two years or three years.

17:52 - Rahul Patel (ADNOC Group D&CS) OK.

17:52 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) And I don't have to do it every time. Like because current years when we see you know the changes if some changes are happening in the material consumption we know it in the current year itself right like like because we are handling the time also so when we issue the well technical package to contractors we know that okay I can see that the forecast consumption of flow line of six inches becoming more than four inch in the coming years then I will go back to process to confirm this information are we going to get more six inch In that pattern. Because development process parameters are not available in the database for more than six months.

18:30 - Rahul Patel (ADNOC Group D&CS) Question here, you said that you have a standard bill of material for most of the well types, right? Yes, so then if the materials are available in the standard bill of material, then why you use forecast and for which materials you use forecasting.

18:48 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) I use the same bill of material I'm saying that additionally, as I said, which percentage of categories, as I said, no oil well will have at least six classification of oil wells. It's not like oil well means only one bill of material. I have six bill of materials are there for oil well. With flowlines, there'll be a different MTO. With 16 flowlines, there's a different MTO. With heaps, we'll have a different MTO. And 2,500 rated will have a different MTO. So which classification to be selected, I have to go back and see based on the historical how many wells have been tied on 2,000 rated or 1,500 rated.

19:21 - Rahul Patel (ADNOC Group D&CS) So based upon historical consumption you identify which which type of metal bomb you need. Yes, select more, yeah. And then, but then the quantities are as per the bomb or you change the quantity that will passed based upon the quantity as per the bomb only.

19:37 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) There are additional requirements I which requires when I add it manually.

19:41 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) And then the length flowline length shake. How you decide it will be standard?

