FW: As-Is Discussion: Demand\Inventory Planning for Drilling Chemicals and Well Tie 
mar, 1 de oct de 2024

5:18 - Mohamad Fakhouri (ADNOC Group D&CS) Hi, everyone. Bye again.

6:19 - Mohamad Fakhouri (ADNOC Group D&CS) Khalid, do we have everyone, or should we wait one more minute?

6:23 - Khalid Sarfaraz (ADNOC Group D&CS) One more minute. How are you?

6:29 - Khalid Sarfaraz (ADNOC Group D&CS) Sorry, say that again. Hi.

6:41 - Khalid Sarfaraz (ADNOC Group D&CS) Arshik, are you waiting for someone else?

6:46 - Mohammed Ashic (ADNOC Onshore - PD) Actually, I have at least a bullet. Yeah, we're going to start with chemicals or with tie-in first. So we don't have anyone from tie-in. So if you're starting with chemicals, yeah, please go ahead. We'll wait for others to join later on.

7:02 - Khalid Sarfaraz (ADNOC Group D&CS) You can start with chemicals.

7:08 - Mohamad Fakhouri (ADNOC Group D&CS) Yeah. If you don't mind this recording this, uh, this session.

7:13 - Khalid Sarfaraz (ADNOC Group D&CS) Yes, Yes, I will do. Thanks for reminding.

7:17 - Mohamad Fakhouri (ADNOC Group D&CS) Um, okay, so. Um today we have two topics to discuss. Uh and we have one hour. Um so I think everyone now is familiar with what we're trying to achieve the minutes to ask six point can talk about chemicals. And then the second half will talk about, uh, well time.

7:49 - Mohamad Fakhouri (ADNOC Group D&CS) Um. Abdulrahman for Asher. Would you be able to, uh, walk us through the Drilling chemicals for drilling. From from demand to inventory. And, uh, supplies. So, uh, Who's responsible? Uh, Where is the demand come from Is it in an Excel sheet?

8:16 - Mohammed Ashic (ADNOC Onshore - PD) And then how does the inventory communicate with the In Onshore we have been informed that there will be no drilling chemical stocked in future so it will be a different process where it will be directly managed by the drilling end users. So we don't need for this process in Adnok Onshore and if there is any requirement we can follow whatever has been designed for the production chemical.

9:02 - Rahul Patel (ADNOC Group D&CS) So the question here is probably if you can help me how chemicals what you're using and drilling are different from say production chemicals or operations chemicals which are being used at other and then if you say you are not requiring it which means you don't need chemical at all or the chemical would to a different process and not part of IPv4?

9:27 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yeah, excuse me. For Mad Chemical, there is a framework agreement that has been established by Adnog for Adnog Onshore and I think it is the same also for Offshore. It has been made as a service with the service contractor. So the three service companies, Haliburton and Adnok Drilling. They will provide the chemical as part of the complete package service. So we will not have any stock to maintain for drilling chemical except one item, which have an LTVA established by Adnok HQ, which is valid up to 2032. It is only for the common salt, sodium chloride. A part of this one item, all the mud chemical has been part of the service contract.

10:32 - Unidentified Speaker Okay.

10:33 - Vignesh Perumal (ADNOC Group D&CS) But why the contract was created as a service contract? So if somebody asks you the consumption, then how will you, you know?

10:42 - Ali Mohammed Ahmed (ADNOC Onshore - PD) It is now by the drilling fluid team. It is part of the service Before we have service contract for specialized mud service, we have service contract for mud tanker rental and so many other services which is related to the mud fluid. So now they merge all as part complete service to one to three company. Part of that they will make the required fluid. They will provide the chemical, they will mix the chemical, they will inject the chemical and all it is package of service. It's not purchasing materials separately.

11:30 - Vignesh Perumal (ADNOC Group D&CS) So in the system also you don't want to segregate these materials.

11:35 - Ali Mohammed Ahmed (ADNOC Onshore - PD) So as an inventory we will not be able, we will not be maintaining this stoke, so there is no need to keep it or make system for it in our inventory.

11:52 - Vignesh Perumal (ADNOC Group D&CS) So that means yielding related chemicals, nothing is required, is it? Because you said that mud chemicals, everything coming through this route and only for the common salt there is an LTPA.

12:07 - Mohamad Fakhouri (ADNOC Group D&CS) So if I'm hearing this correctly, you don't want to manage this because it's being part of a service agreement?

12:18 - Unidentified Speaker Exactly.

12:19 - Mohamad Fakhouri (ADNOC Group D&CS) There's no need to manage this in IABP and you're not maintaining any stock?

12:24 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yes. We have only one item. It can be managed the same like the production chemical.

12:30 - Mohamad Fakhouri (ADNOC Group D&CS) OK.

12:35 - Vignesh Perumal (ADNOC Group D&CS) Khalid, are you documenting these things as key decision points? See, somewhere, please document these things as key decision points. Because these decisions, probably some of them, we may not be able to reverse later on.

12:51 - Mohamad Fakhouri (ADNOC Group D&CS) Yes, definitely. We're consolidating them.

12:56 - Khalid Sarfaraz (ADNOC Group D&CS) Once we conclude as is, to look on this all these documents.

13:08 - Mohamad Fakhouri (ADNOC Group D&CS) Yes.

13:12 - Mohamad Fakhouri (ADNOC Group D&CS) Okay. Okay. So if that's the case, if it's okay with everyone, maybe we can move on, uh, um, to the next topic.

13:25 - Ali Mohammed Ahmed (ADNOC Onshore - PD) What we said is for onshore. You can check with offshore. But what I believe the service contract was established for both, for offshore and onshore.

13:36 - Rahul Patel (ADNOC Group D&CS) Do we have offshore representatives in the call?

13:40 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, offshore and NORA. Are we here? I'm just checking NORA.

13:49 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Mr.

13:49 - Vignesh Perumal (ADNOC Group D&CS) Raleigh, does that mean you don't store these drilling chemicals at your place, whenever you are going to require some services, you will call those three guys, Slumberger and those three guys, they will come with the required chemical and then they will use it and then they will go back. Is this what will happen? So that means there is no inventory of all the drilling chemicals at all?

14:40 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Yes, no inventory. We are only finishing the old stock we have, we agreed with the drilling to complete what we have purchased before. We will not raise any LTBA or any purchase order for Mad Chemical now. Till date, that is what we have. Okay, okay.

15:13 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Okay.

15:16 - Unidentified Speaker Yeah.

15:22 - Mohamad Fakhouri (ADNOC Group D&CS) Abdul, do we, do we have someone from, I'm here anyone from offshore.

15:35 - Ameer Ali Muhammed Kizhakkanikath (ADNOC Offshore - MATCATT) Yeah, yeah, yeah, good morning. Yeah, I will add. One person he's the one looking up to the chemical. We can provide some.

15:47 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Input on this one second.

16:19 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) Assalamu alaikum, everyone. Wa alaikum salam.

16:23 - Mohamad Fakhouri (ADNOC Group D&CS) Wa alaikum salam. So Hamad, we were discussing just to give you what we've been discussing. So we were discussing with our team regarding the drilling chemicals. They mentioned that they don't. Chemicals is part of a service. Agreements, they don't have any stock. Therefore, it's not being managed by ADNOC, so therefore it doesn't need to be managed in IBP. We want to understand if offshore has the same process as onshore.

17:07 - Muhammed Najeeb Abdulla (ADNOC Offshore - IC) We do have LTPA, We don't have a service contract.

17:11 - Unidentified Speaker Okay.

17:17 - Mohamad Fakhouri (ADNOC Group D&CS) And so you're managing the stock?

