Review and Approval Meeting - Chemical - Session 2 
mié, 11 de dic de 2024

0:05 - Unidentified Speaker Hi, everyone. We'll just give a few minutes for everyone to join. You.

0:30 - MM- SKEC2 - L08 you I've had it. Um. Do we have everyone or.

5:48 - Yaser Salem Bin Zubaa (ADNOC - GP) I think we need to let us, uh, wait for two minutes. And also the focal point here to be here. I will work on that here.

6:01 - MM- SKEC2 - L08 Sure.

8:29 - Yaser Salem Bin Zubaa (ADNOC - GP) I think we can start, because I think most of them are not available now. Maybe they know that their time is now. So you can go ahead and start. Later, we'll invite them, inshallah, during the discussion.

8:46 - Unidentified Speaker OK.

8:47 - MM- SKEC2 - L08 Yes, go ahead.

8:48 - Unidentified Speaker Go ahead. OK. Thanks, Yaser.

8:51 - MM- SKEC2 - L08 Kunal, do you mind sharing your screen? Yeah, yeah, sure.

8:55 - Kunal Sheth (ADNOC Group D&CS) Good afternoon, everyone. Let me share my screen. Hope you can see my screen. Business course is designed for chemicals demand planning. Yes, yes, please go ahead. Yeah.

9:10 - Unidentified Speaker So this is the first comment from Arunkumar.

9:14 - Kunal Sheth (ADNOC Group D&CS) Please include the operations excellence as an additional reviewer as they are predominant in this material planning activity. To be discussed with the project team?

9:28 - Yaser Salem Bin Zubaa (ADNOC - GP) I think for the separation and excellence, he means about EAM team, which was already discussed the same. It will be again discussed here, similar to what we have already with the MRO maintenance. We need to have a separate meeting with the end users, team, and for the alignment. That's it. OK. Thanks. Same.

9:55 - Kunal Sheth (ADNOC Group D&CS) So this is an open open item that we need to discuss for as well as chemicals.

10:02 - Unidentified Speaker Yes, yeah.

10:03 - Kunal Sheth (ADNOC Group D&CS) So let me move to the next point.

10:07 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Can you can you ensure that all this reviewer part of this?

10:12 - Unidentified Speaker Call I just joined, sorry.

10:14 - Yaser Salem Bin Zubaa (ADNOC - GP) Yes, yes. No, can we ensure that this reviewer focal point is in the call already? Yes, I'm trying. Yes, I'm trying. Why is them because most of them are here but still our Kumar has told me after 10 minutes he will join Okay, who is this Ali? We need earlier from our yes, we need yes, we need Ali and also we need to know how I'm the Latif is here because Najeeb I think he's busy. I will look out for a minute guys.

10:46 - Unidentified Speaker I will look at are you here?

10:48 - MM- SKEC2 - L08 It is a book One more name that's missing is Mohammed Ashiq for Al Dhafra and Al Yasad.

